mu_median,mu_ci_lower,mu_ci_upper,tau_median,tau_ci_lower,tau_ci_upper,p_mu_gt_zero,p_mu_gt_practical,k_studies,method,n_draws,technique_taxonomy_id,study_ids
0.5895405952787688,0.33121634307716563,0.7815693640377998,0.08854954522483692,0.0039672757021377006,0.44315681661809586,0.9993,0.9928,2,approximate-bayesian-importance-sampling,10000,commitment-consistency,atlas-040;atlas-044
0.4348611398577089,0.043454717344882154,0.7449487810449018,0.2694265787543128,0.07750330166216104,0.7132833354896289,0.9826,0.914,2,approximate-bayesian-importance-sampling,10000,extreme-anchor,atlas-005;atlas-007
0.4741602325583496,0.30501485108074344,0.6420900785766556,0.3008135740396525,0.16870018717233545,0.5311617591099422,1.0,0.9969,9,approximate-bayesian-importance-sampling,10000,gain-framing,atlas-005;atlas-009;atlas-012;atlas-013;atlas-014;atlas-015;atlas-045;atlas-046;atlas-048
0.3267136973194838,0.24936761443487282,0.4101289834951811,0.04715498455209282,0.0020122896548894487,0.18467182405102864,1.0,0.9986,7,approximate-bayesian-importance-sampling,10000,loss-framing,atlas-005;atlas-012;atlas-013;atlas-014;atlas-015;atlas-045;atlas-046
0.48401918655058096,0.34603453435062004,0.632167118978261,0.06844521193911297,0.0032186115025158125,0.3429259257525173,0.9998,0.9971,3,approximate-bayesian-importance-sampling,10000,regulatory-fit,atlas-015;atlas-033;atlas-049
0.5154341364545166,-0.4939227175225466,1.408195932310618,1.600278006530769,0.6411414770853541,3.738938204778756,0.8446,0.7375,2,approximate-bayesian-importance-sampling,10000,social-proof,atlas-004;atlas-037
